max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
0.15,2021,muy_arriesgado,1.0,0.0,0.1705,0.243,0.7016,0.1597,12,False,11593.44,1.0,0.0
0.15,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.15,2022,conservador,0.9998663811853665,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
0.15,2022,neutro,0.3461221464588984,0.16777688142615063,-0.2095,0.1998,-1.0483,0.1897,9,True,6896.32,0.3333,0.0057
0.15,2022,arriesgado,0.9488988366467724,0.0,-0.0169,0.1379,-0.1223,0.1566,12,False,9618.54,0.9167,0.0003
0.15,2022,muy_arriesgado,0.9983816144326014,0.0,-0.0089,0.1686,-0.0528,0.1682,12,False,9501.27,1.0,0.0
0.15,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.15,2023,conservador,1.6763291673128164e-05,0.15512030922994266,-0.1139,0.0534,-2.1352,0.0624,5,True,4480.53,0.0,0.0062
0.15,2023,neutro,0.003004294361371116,0.0,0.1368,0.1557,0.8783,0.0702,12,False,11242.98,0.0,0.0131
0.15,2023,arriesgado,0.4363989920811738,0.0,0.0779,0.0868,0.8969,0.0362,12,False,10150.77,0.4167,0.0024
0.15,2023,muy_arriesgado,0.9049604422110052,0.0,0.071,0.1332,0.5327,0.0673,12,False,10199.22,0.9167,0.0001
0.15,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.15,2024,conservador,0.9846163749431649,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
0.15,2024,neutro,0.6790456815771554,0.0,0.2814,0.1002,2.8074,0.0331,12,False,11438.71,0.75,0.0008
0.15,2024,arriesgado,0.9589969386064049,0.0,0.2445,0.142,1.7224,0.0497,12,False,12398.27,0.9167,0.0002
0.15,2024,muy_arriesgado,0.9999999999540807,0.0,0.266,0.1848,1.4391,0.07,12,False,13015.07,1.0,0.0
0.15,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.15,2025,conservador,0.9932965819804731,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
