train_years,max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
5,0.1,2020,conservador,0.9996966415559967,0.49908947578195384,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
5,0.1,2020,neutro,0.9999999815566144,0.33331249910045985,-0.6424,0.2732,-2.3514,0.2468,3,True,2292.44,1.0,0.0
5,0.1,2020,arriesgado,0.9747673503553734,0.0,0.2498,0.2726,0.9165,0.2265,12,False,10596.35,1.0,0.0
5,0.1,2020,muy_arriesgado,0.9984751241151724,0.0,0.4369,0.2914,1.4995,0.2053,12,False,11444.37,1.0,0.0
5,0.1,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.1,2021,conservador,0.8815518758274185,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
5,0.1,2021,neutro,0.7500524269049723,0.0,0.371,0.1274,2.9115,0.0642,12,False,12790.93,0.75,0.0009
5,0.1,2021,arriesgado,1.0,0.0,0.2214,0.1811,1.2223,0.1007,12,False,11644.08,1.0,0.0
5,0.1,2021,muy_arriesgado,1.0,0.0,0.1749,0.238,0.7348,0.158,12,False,11657.35,1.0,0.0
5,0.1,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.1,2022,conservador,0.9998689328290615,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
5,0.1,2022,neutro,0.3465730701183875,0.16777688142615063,-0.2095,0.1998,-1.0483,0.1897,9,True,6896.32,0.3333,0.0057
5,0.1,2022,arriesgado,0.9965156108490346,0.0,0.0091,0.1446,0.063,0.138,12,False,9719.31,1.0,0.0
5,0.1,2022,muy_arriesgado,0.998948412598263,0.0,-0.03,0.1884,-0.1593,0.1885,12,False,9348.87,1.0,0.0
5,0.1,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.1,2023,conservador,1.663844059266629e-05,0.15512030922994266,-0.1139,0.0534,-2.1352,0.0624,5,True,4480.53,0.0,0.0062
5,0.1,2023,neutro,0.0029980086250607552,0.0,0.1368,0.1557,0.8783,0.0702,12,False,11242.98,0.0,0.0131
5,0.1,2023,arriesgado,0.6596017673717964,0.0,0.0547,0.0899,0.6079,0.0482,12,False,10102.13,0.6667,0.0005
5,0.1,2023,muy_arriesgado,0.9108821294508535,0.0,0.0791,0.1351,0.5853,0.0592,12,False,10247.43,0.9167,0.0001
5,0.1,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.1,2024,conservador,0.9845048832388247,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
5,0.1,2024,neutro,0.6565371442553921,0.0,0.2166,0.1187,1.8253,0.0428,12,False,11280.69,0.6667,0.001
5,0.1,2024,arriesgado,0.9997624975419469,0.0,0.2661,0.1197,2.2237,0.0311,12,False,12441.23,1.0,0.0
5,0.1,2024,muy_arriesgado,0.9999999999988476,0.0,0.283,0.1518,1.8638,0.0484,12,False,12899.34,1.0,0.0
5,0.1,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.1,2025,conservador,0.9930838593297314,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
5,0.1,2025,neutro,0.4557860694879447,0.0,0.2046,0.078,2.6247,0.0318,12,False,11355.98,0.3333,0.0025
5,0.1,2025,arriesgado,1.0,0.0,-0.0067,0.1265,-0.0528,0.1274,12,False,10130.5,1.0,0.0
5,0.1,2025,muy_arriesgado,0.9999999999999973,0.0,-0.062,0.173,-0.3583,0.1952,12,False,9582.59,1.0,0.0
5,0.15,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.15,2019,conservador,0.06207489067219729,0.14517182284858615,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051
5,0.15,2019,neutro,0.9617535914220192,0.0,0.1711,0.0627,2.7289,0.0226,12,False,11289.27,0.9167,0.0002
5,0.15,2019,arriesgado,0.999999934343669,0.0,0.2348,0.1425,1.6483,0.0885,12,False,12232.33,1.0,0.0
5,0.15,2019,muy_arriesgado,0.9999999736443401,0.0,0.259,0.182,1.4227,0.1367,12,False,12664.6,1.0,0.0
