max_weight,anio,periodo_inicio,periodo_fin,perfil,prob_aceptacion_prom,prob_abandono_prom,aceptacion_observada,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
0.2,2022,2022-01-01,2022-12-31,conservador,0.9998663811853665,0.37846424952014,1.0,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
0.2,2022,2022-01-01,2022-12-31,neutro,0.3461221464588984,0.16777688142615063,0.3333333333333333,-0.2095,0.1998,-1.0483,0.1897,9,True,6896.32,0.3333,0.0057
0.2,2022,2022-01-01,2022-12-31,arriesgado,0.9490444489245539,0.0,0.9166666666666666,-0.0286,0.1401,-0.2044,0.1661,12,False,9547.72,0.9167,0.0003
0.2,2022,2022-01-01,2022-12-31,muy_arriesgado,0.9993901982463509,0.0,1.0,-0.029,0.1642,-0.1764,0.1777,12,False,9399.09,1.0,0.0
0.2,2023,2023-01-01,2023-12-31,muy_conservador,0.5,0.0,0.3333333333333333,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.2,2023,2023-01-01,2023-12-31,conservador,1.6763291673128164e-05,0.15512030922994266,0.0,-0.1139,0.0534,-2.1352,0.0624,5,True,4480.53,0.0,0.0062
0.2,2023,2023-01-01,2023-12-31,neutro,0.003004294361371116,0.0,0.0,0.1368,0.1557,0.8783,0.0702,12,False,11242.98,0.0,0.0131
0.2,2023,2023-01-01,2023-12-31,arriesgado,0.524955251442665,0.0,0.5,0.0664,0.0913,0.7277,0.0422,12,False,10113.99,0.5,0.0018
0.2,2023,2023-01-01,2023-12-31,muy_arriesgado,0.91770828838047,0.0,0.9166666666666666,0.0646,0.1329,0.4861,0.0678,12,False,10177.3,0.9167,0.0001
0.2,2024,2024-01-01,2024-12-31,muy_conservador,0.5,0.0,0.3333333333333333,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.2,2024,2024-01-01,2024-12-31,conservador,0.9846163749431649,0.0,1.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
0.2,2024,2024-01-01,2024-12-31,neutro,0.6790033342531839,0.0,0.75,0.2812,0.1003,2.8026,0.0331,12,False,11438.75,0.75,0.0008
0.2,2024,2024-01-01,2024-12-31,arriesgado,0.9590243131252566,0.0,0.9166666666666666,0.2433,0.1487,1.636,0.0504,12,False,12401.44,0.9167,0.0002
