modelo,max_weight,perfil,retorno_promedio,retorno_mediano,drawdown_promedio,abandono_promedio,prob_abandono_promedio,prob_aceptacion_promedio,frecuencia_rebalanceo_promedio,meses_activos_promedio,mae,rmse,bias,hit_rate_signo,n_activos_promedio,score
sin_bl,0.025,neutro,0.046685714285714296,0.1915,0.09522857142857144,0.2857142857142857,0.07262280969150019,0.9920855487429964,1.0,10.285714285714286,0.039641,0.053291,0.000446,0.6667,286.1,-0.10646335714285712
sin_bl,0.05,arriesgado,0.17275714285714286,0.2538,0.11427142857142858,0.0,0.0,0.995186702648301,1.0,12.0,0.039998,0.050146,0.016792,0.625,234.11,0.09562242857142857
sin_bl,0.05,conservador,-0.006914285714285714,0.0,0.06265714285714286,0.7142857142857143,0.24421447032033947,0.9999878001695002,1.0,5.857142857142857,0.042341,0.05471,-0.001759,0.6528,295.0,-0.2736990714285714
sin_bl,0.05,muy_arriesgado,0.2173285714285714,0.253,0.1421857142857143,0.0,0.0,0.9990419757563795,1.0,12.0,0.049787,0.063171,0.022184,0.6389,232.29,0.12134221428571425
sin_bl,0.05,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,0.3333,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
sin_bl,0.05,neutro,0.04894285714285714,0.1808,0.09411428571428572,0.2857142857142857,0.07261675952002163,0.9907811342673708,0.9881,10.285714285714286,0.039058,0.052884,0.000665,0.6528,282.14,-0.10335757142857142
sin_bl,0.1,arriesgado,0.17494285714285712,0.2448,0.11262857142857143,0.0,0.0,0.998134550631393,1.0,12.0,0.038712,0.049133,0.017404,0.6111,186.24,0.09927257142857142
sin_bl,0.1,conservador,-0.006914285714285714,0.0,0.06265714285714286,0.7142857142857143,0.24421447032033947,0.9999878001695002,1.0,5.857142857142857,0.042341,0.05471,-0.001759,0.6528,295.0,-0.2736990714285714
sin_bl,0.1,muy_arriesgado,0.22795714285714283,0.2934,0.13705714285714285,0.0,0.0,0.9999281462782831,1.0,12.0,0.048494,0.061874,0.023124,0.6528,208.81,0.13518157142857143
sin_bl,0.1,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,0.3333,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
sin_bl,0.1,neutro,0.048728571428571434,0.1782,0.0940857142857143,0.2857142857142857,0.07261617910802773,0.9911746601131254,0.9881,10.285714285714286,0.03902,0.052869,0.00072,0.6528,270.32,-0.10353857142857142
sin_bl,0.15,arriesgado,0.17912857142857144,0.2501,0.11144285714285715,0.0,0.0,0.9986864503309499,1.0,12.0,0.038712,0.048833,0.017162,0.625,182.11,0.10405114285714287
sin_bl,0.15,conservador,-0.006914285714285714,0.0,0.06265714285714286,0.7142857142857143,0.24421447032033947,0.9999878001695002,1.0,5.857142857142857,0.042341,0.05471,-0.001759,0.6528,295.0,-0.2736990714285714
sin_bl,0.15,muy_arriesgado,0.24127142857142855,0.3161,0.13597142857142858,0.0,0.0,0.9999617154112018,1.0,12.0,0.04792,0.061359,0.022894,0.6667,179.11,0.14932571428571426
sin_bl,0.15,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,0.3333,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
sin_bl,0.15,neutro,0.04855714285714287,0.1778,0.09415714285714286,0.2857142857142857,0.07261649575419271,0.9911742728885587,0.9881,10.285714285714286,0.039017,0.052863,0.000724,0.6528,273.33,-0.10374421428571426
