cliente,abandona,meses_activos,valor_final,retorno_anual,frecuencia_rebalanceo,comision_total
166,True,15,953754.9,-0.0372,1.0,13762.57
167,True,15,953754.9,-0.0372,1.0,13762.57
168,True,15,953754.9,-0.0372,1.0,13762.57
169,True,15,953754.9,-0.0372,1.0,13762.57
170,True,15,953754.9,-0.0372,1.0,13762.57
171,True,15,953754.9,-0.0372,1.0,13762.57
172,True,15,953754.9,-0.0372,1.0,13762.57
173,True,15,953754.9,-0.0372,1.0,13762.57
174,True,15,953754.9,-0.0372,1.0,13762.57
175,True,15,953754.9,-0.0372,1.0,13762.57
176,True,15,953754.9,-0.0372,1.0,13762.57
177,True,15,953754.9,-0.0372,1.0,13762.57
178,True,15,953754.9,-0.0372,1.0,13762.57
179,True,15,953754.9,-0.0372,1.0,13762.57
180,True,15,953754.9,-0.0372,1.0,13762.57
181,True,15,953754.9,-0.0372,1.0,13762.57
182,True,15,953754.9,-0.0372,1.0,13762.57
183,True,15,953754.9,-0.0372,1.0,13762.57
184,True,15,953754.9,-0.0372,1.0,13762.57
185,True,15,953754.9,-0.0372,1.0,13762.57
186,True,15,953754.9,-0.0372,1.0,13762.57
187,True,15,953754.9,-0.0372,1.0,13762.57
188,True,15,953754.9,-0.0372,1.0,13762.57
189,True,15,953754.9,-0.0372,1.0,13762.57
190,True,15,953754.9,-0.0372,1.0,13762.57
191,True,15,953754.9,-0.0372,1.0,13762.57
192,True,15,953754.9,-0.0372,1.0,13762.57
193,True,15,953754.9,-0.0372,1.0,13762.57
194,True,15,953754.9,-0.0372,1.0,13762.57
195,True,15,953754.9,-0.0372,1.0,13762.57
196,True,15,953754.9,-0.0372,1.0,13762.57
197,True,15,953754.9,-0.0372,1.0,13762.57
198,True,15,953754.9,-0.0372,1.0,13762.57
199,True,15,953754.9,-0.0372,1.0,13762.57
200,True,15,953754.9,-0.0372,1.0,13762.57
201,True,15,953754.9,-0.0372,1.0,13762.57
202,True,15,953754.9,-0.0372,1.0,13762.57
203,True,15,953754.9,-0.0372,1.0,13762.57
204,True,15,953754.9,-0.0372,1.0,13762.57
205,True,15,953754.9,-0.0372,1.0,13762.57
206,True,15,953754.9,-0.0372,1.0,13762.57
207,True,15,953754.9,-0.0372,1.0,13762.57
208,True,15,953754.9,-0.0372,1.0,13762.57
209,True,15,953754.9,-0.0372,1.0,13762.57
210,True,15,953754.9,-0.0372,1.0,13762.57
211,True,15,953754.9,-0.0372,1.0,13762.57
212,True,15,953754.9,-0.0372,1.0,13762.57
213,True,15,953754.9,-0.0372,1.0,13762.57
214,True,15,953754.9,-0.0372,1.0,13762.57
215,True,15,953754.9,-0.0372,1.0,13762.57
216,True,15,953754.9,-0.0372,1.0,13762.57
217,True,15,953754.9,-0.0372,1.0,13762.57
218,True,15,953754.9,-0.0372,1.0,13762.57
219,True,15,953754.9,-0.0372,1.0,13762.57
220,True,15,953754.9,-0.0372,1.0,13762.57
221,True,15,953754.9,-0.0372,1.0,13762.57
222,True,15,953754.9,-0.0372,1.0,13762.57
223,True,15,953754.9,-0.0372,1.0,13762.57
224,True,15,953754.9,-0.0372,1.0,13762.57
225,True,15,953754.9,-0.0372,1.0,13762.57
226,True,15,953754.9,-0.0372,1.0,13762.57
227,True,15,953754.9,-0.0372,1.0,13762.57
228,True,15,953754.9,-0.0372,1.0,13762.57
229,True,15,953754.9,-0.0372,1.0,13762.57
230,True,15,953754.9,-0.0372,1.0,13762.57
231,True,15,953754.9,-0.0372,1.0,13762.57
232,True,15,953754.9,-0.0372,1.0,13762.57
233,True,15,953754.9,-0.0372,1.0,13762.57
234,True,15,953754.9,-0.0372,1.0,13762.57
235,True,15,953754.9,-0.0372,1.0,13762.57
236,True,15,953754.9,-0.0372,1.0,13762.57
237,True,15,953754.9,-0.0372,1.0,13762.57
238,True,15,953754.9,-0.0372,1.0,13762.57
239,True,15,953754.9,-0.0372,1.0,13762.57
240,True,15,953754.9,-0.0372,1.0,13762.57
241,True,15,953754.9,-0.0372,1.0,13762.57
242,True,15,953754.9,-0.0372,1.0,13762.57
243,True,15,953754.9,-0.0372,1.0,13762.57
244,True,15,953754.9,-0.0372,1.0,13762.57
245,True,15,953754.9,-0.0372,1.0,13762.57
246,True,15,953754.9,-0.0372,1.0,13762.57
247,True,15,953754.9,-0.0372,1.0,13762.57
248,True,15,953754.9,-0.0372,1.0,13762.57
249,True,15,953754.9,-0.0372,1.0,13762.57
250,True,15,953754.9,-0.0372,1.0,13762.57
251,True,15,953754.9,-0.0372,1.0,13762.57
252,True,15,953754.9,-0.0372,1.0,13762.57
253,True,15,953754.9,-0.0372,1.0,13762.57
254,True,15,953754.9,-0.0372,1.0,13762.57
255,True,15,953754.9,-0.0372,1.0,13762.57
256,True,15,953754.9,-0.0372,1.0,13762.57
257,True,15,953754.9,-0.0372,1.0,13762.57
258,True,15,953754.9,-0.0372,1.0,13762.57
259,True,15,953754.9,-0.0372,1.0,13762.57
260,True,15,953754.9,-0.0372,1.0,13762.57
261,True,15,953754.9,-0.0372,1.0,13762.57
262,True,15,953754.9,-0.0372,1.0,13762.57
263,True,15,953754.9,-0.0372,1.0,13762.57
264,True,15,953754.9,-0.0372,1.0,13762.57
265,True,15,953754.9,-0.0372,1.0,13762.57
266,True,15,953754.9,-0.0372,1.0,13762.57
267,True,15,953754.9,-0.0372,1.0,13762.57
268,True,15,953754.9,-0.0372,1.0,13762.57
269,True,15,953754.9,-0.0372,1.0,13762.57
270,True,15,953754.9,-0.0372,1.0,13762.57
271,True,15,953754.9,-0.0372,1.0,13762.57
272,True,15,953754.9,-0.0372,1.0,13762.57
273,True,15,953754.9,-0.0372,1.0,13762.57
274,True,15,953754.9,-0.0372,1.0,13762.57
275,True,15,953754.9,-0.0372,1.0,13762.57
276,True,15,953754.9,-0.0372,1.0,13762.57
277,True,15,953754.9,-0.0372,1.0,13762.57
278,True,15,953754.9,-0.0372,1.0,13762.57
279,True,15,953754.9,-0.0372,1.0,13762.57
280,True,15,953754.9,-0.0372,1.0,13762.57
281,True,15,953754.9,-0.0372,1.0,13762.57
282,True,15,953754.9,-0.0372,1.0,13762.57
283,True,15,953754.9,-0.0372,1.0,13762.57
284,True,15,953754.9,-0.0372,1.0,13762.57
285,True,15,953754.9,-0.0372,1.0,13762.57
286,True,15,953754.9,-0.0372,1.0,13762.57
287,True,15,953754.9,-0.0372,1.0,13762.57
288,True,15,953754.9,-0.0372,1.0,13762.57
289,True,15,953754.9,-0.0372,1.0,13762.57
290,True,15,953754.9,-0.0372,1.0,13762.57
291,True,15,953754.9,-0.0372,1.0,13762.57
292,True,15,953754.9,-0.0372,1.0,13762.57
293,True,15,953754.9,-0.0372,1.0,13762.57
294,True,15,953754.9,-0.0372,1.0,13762.57
295,True,15,953754.9,-0.0372,1.0,13762.57
296,True,15,953754.9,-0.0372,1.0,13762.57
297,True,15,953754.9,-0.0372,1.0,13762.57
298,True,15,953754.9,-0.0372,1.0,13762.57
299,True,15,953754.9,-0.0372,1.0,13762.57
300,True,15,953754.9,-0.0372,1.0,13762.57
301,True,15,953754.9,-0.0372,1.0,13762.57
302,True,15,953754.9,-0.0372,1.0,13762.57
303,True,15,953754.9,-0.0372,1.0,13762.57
304,True,15,953754.9,-0.0372,1.0,13762.57
